date,Gas_Price,Gas_Log_Return,Gas_RSI,Gas_MA7,Gas_MA30,Gas_Vol7
2013-07-12,3.61,-0.008275909303859822,33.333333333333314,3.62,3.766,0.0174978464387071
2013-07-15,3.67,0.016483889721689415,40.540540540540526,3.638571428571429,3.7543333333333337,0.017352492911803106
2013-07-16,3.69,0.005434795985956995,44.444444444444436,3.662857142857143,3.744,0.016693833711329095
2013-07-17,3.67,-0.005434795985956945,46.376811594202884,3.665714285714286,3.733,0.010800751333515386
2013-07-18,3.66,-0.002728514653203951,44.927536231884076,3.6614285714285715,3.722,0.009860134393446894
2013-07-19,3.78,0.03226086221822126,66.15384615384616,3.674285714285714,3.717,0.01607617638198301
2013-07-22,3.71,-0.01869213301215252,64.17910447761194,3.684285714285714,3.7143333333333333,0.017054099114121885
2013-07-23,3.68,-0.008119124438504129,57.812500000000014,3.6942857142857144,3.708666666666667,0.017037343777709657
2013-07-24,3.7,0.005420067469339113,62.903225806451644,3.698571428571429,3.7063333333333333,0.01603385396650167
2013-07-25,3.68,-0.005420067469339256,62.903225806451644,3.6971428571428575,3.704333333333333,0.016076708219827616
2013-07-26,3.59,-0.02476054968065211,44.82758620689654,3.685714285714286,3.699666666666667,0.018556095196102695
2013-07-29,3.49,-0.02825046628585162,34.375,3.6614285714285715,3.6906666666666665,0.02082807309387142
2013-07-30,3.48,-0.0028694424279529316,33.84615384615384,3.6185714285714288,3.6806666666666668,0.012360096756699497
2013-07-31,3.46,-0.0057637047167501294,35.48387096774192,3.582857142857143,3.6659999999999995,0.012124550482938286
2013-08-01,3.44,-0.005797117684325958,36.065573770491795,3.5485714285714285,3.6496666666666666,0.012214933388067818
2013-08-02,3.39,-0.014641549992948005,26.666666666666643,3.5042857142857144,3.6326666666666663,0.010296956598383113
2013-08-05,3.33,-0.01785761740000646,21.87499999999997,3.454285714285714,3.6153333333333335,0.009938420915304334
2013-08-06,3.35,0.005988041844622693,24.999999999999986,3.4199999999999995,3.6,0.011242368586541382
2013-08-07,3.32,-0.008995562908577986,24.242424242424207,3.3957142857142855,3.585,0.007840749223245912
2013-08-08,3.27,-0.015174798019235115,6.779661016949149,3.3657142857142857,3.5700000000000003,0.008100453377511965
2013-08-09,3.32,0.015174798019235132,15.789473684210506,3.3457142857142856,3.5563333333333333,0.012250761413990474
2013-08-12,3.34,0.006006024060211949,19.64285714285711,3.3314285714285714,3.548666666666667,0.013053355691721736
2013-08-13,3.34,0.0,16.66666666666663,3.3242857142857143,3.542666666666667,0.012252555610802835
2013-08-14,3.36,0.005970166986503754,20.37037037037034,3.3285714285714283,3.5353333333333334,0.01030816828206827
2013-08-15,3.34,-0.005970166986503796,23.40425531914893,3.327142857142857,3.5286666666666666,0.01038869972116074
2013-08-16,3.35,0.002989538848365986,31.578947368421055,3.3314285714285714,3.523,0.009706393282780591
2013-08-19,3.46,0.03230824323265783,47.916666666666664,3.358571428571429,3.5166666666666666,0.012481333670954357
2013-08-20,3.48,0.005763704716750134,52.08333333333333,3.3814285714285717,3.509666666666667,0.012088973447052832
