date,HDD,CDD,Total_Degree_Days,HDD_MA7,CDD_MA7,Total_DD_MA7,Total_DD_MA30,Weather_Shock
2010-10-25,5,2,7,8.714285714285714,1.1428571428571428,9.857142857142858,8.266666666666667,-1.2666666666666675
2010-10-26,5,3,8,8.285714285714286,1.4285714285714286,9.714285714285714,8.3,-0.3000000000000007
2010-10-27,6,3,9,7.857142857142857,1.7142857142857142,9.571428571428571,8.333333333333334,0.6666666666666661
2010-10-28,8,2,10,7.714285714285714,1.8571428571428572,9.571428571428571,8.4,1.5999999999999996
2010-10-29,13,1,14,8.285714285714286,1.8571428571428572,10.142857142857142,8.6,5.4
2010-11-01,14,1,15,8.857142857142858,1.8571428571428572,10.714285714285714,8.833333333333334,6.166666666666666
2010-11-02,14,1,15,9.285714285714286,1.8571428571428572,11.142857142857142,9.066666666666666,5.933333333333334
2010-11-03,14,1,15,10.571428571428571,1.7142857142857142,12.285714285714286,9.266666666666667,5.7333333333333325
2010-11-04,14,1,15,11.857142857142858,1.4285714285714286,13.285714285714286,9.466666666666667,5.533333333333333
2010-11-05,16,0,16,13.285714285714286,1.0,14.285714285714286,9.666666666666666,6.333333333333334
2010-11-08,15,0,15,14.285714285714286,0.7142857142857143,15.0,9.933333333333334,5.066666666666666
2010-11-09,14,0,14,14.428571428571429,0.5714285714285714,15.0,10.166666666666666,3.833333333333334
2010-11-10,13,0,13,14.285714285714286,0.42857142857142855,14.714285714285714,10.4,2.5999999999999996
2010-11-11,14,0,14,14.285714285714286,0.2857142857142857,14.571428571428571,10.666666666666666,3.333333333333334
2010-11-12,14,1,15,14.285714285714286,0.2857142857142857,14.571428571428571,10.933333333333334,4.066666666666666
2010-11-15,16,0,16,14.571428571428571,0.14285714285714285,14.714285714285714,11.1,4.9
2010-11-16,14,0,14,14.285714285714286,0.14285714285714285,14.428571428571429,11.233333333333333,2.7666666666666675
2010-11-17,14,0,14,14.142857142857142,0.14285714285714285,14.285714285714286,11.433333333333334,2.5666666666666664
2010-11-18,18,0,18,14.714285714285714,0.14285714285714285,14.857142857142858,11.833333333333334,6.166666666666666
2010-11-19,20,0,20,15.714285714285714,0.14285714285714285,15.857142857142858,12.333333333333334,7.666666666666666
2010-11-22,14,1,15,15.714285714285714,0.2857142857142857,16.0,12.633333333333333,2.366666666666667
2010-11-23,16,1,17,16.0,0.2857142857142857,16.285714285714285,12.966666666666667,4.033333333333333
2010-11-24,21,1,22,16.714285714285715,0.42857142857142855,17.142857142857142,13.433333333333334,8.566666666666666
2010-11-26,23,0,23,18.0,0.42857142857142855,18.428571428571427,13.866666666666667,9.133333333333333
2010-11-29,22,0,22,19.142857142857142,0.42857142857142855,19.571428571428573,14.3,7.699999999999999
2010-11-30,21,1,22,19.571428571428573,0.5714285714285714,20.142857142857142,14.7,7.300000000000001
2010-12-01,22,0,22,19.857142857142858,0.5714285714285714,20.428571428571427,15.1,6.9
2010-12-02,26,0,26,21.571428571428573,0.42857142857142855,22.0,15.633333333333333,10.366666666666667
2010-12-03,25,0,25,22.857142857142858,0.2857142857142857,23.142857142857142,16.1,8.899999999999999
2010-12-06,31,0,31,24.285714285714285,0.14285714285714285,24.428571428571427,16.733333333333334,14.266666666666666
2010-12-07,31,0,31,25.428571428571427,0.14285714285714285,25.571428571428573,17.533333333333335,13.466666666666665
2010-12-08,32,0,32,26.857142857142858,0.14285714285714285,27.0,18.333333333333332,13.666666666666668
2010-12-09,31,0,31,28.285714285714285,0.0,28.285714285714285,19.066666666666666,11.933333333333334
2010-12-10,28,0,28,29.142857142857142,0.0,29.142857142857142,19.666666666666668,8.333333333333332
2010-12-13,31,0,31,29.857142857142858,0.0,29.857142857142858,20.233333333333334,10.766666666666666
2010-12-14,35,0,35,31.285714285714285,0.0,31.285714285714285,20.9,14.100000000000001
2010-12-15,34,0,34,31.714285714285715,0.0,31.714285714285715,21.533333333333335,12.466666666666665
